participants,date_announced,business_description,type,SIC_primary,participant_nation,deal_number
"First Fidelity Bancorp,NJ",1992-12-01,Bank holding company,Strategic Alliance,6021,United States,310446045
"NationsBank Corp,Charlotte,NC",1992-12-02,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,310614045
"Chemical Banking Corp,New York",1992-12-02,Bank holding company,Joint Venture,6021,United States,310614045
BankAmerica Corp,1992-12-02,Bank holding company,Joint Venture,6021,United States,310614045
"First Chicago Corp,Illinois",1992-12-04,Bank holding company,Joint Venture,6021,United States,312761045
"First Interstate Bancorp,CA",1992-12-08,Bank holding company,Strategic Alliance,6021,United States,311052045
Cryo-Cell International Inc,1992-12-16,"Own,op umbilical cord banks",Joint Venture,8099,United States,311909045
JP Morgan & Co Inc,1992-12-21,Investment bank,Joint Venture,6211,United States,312361045
"First Bank,Michigan City,IN",1992-12-29,Commercial bank,Strategic Alliance,6022,United States,342650045
"Chemical Banking Corp,New York",1993-01-01,Bank holding company,Joint Venture,6021,United States,416036045
Wells Fargo & Co,1993-01-01,Bank holding company,Joint Venture,6021,United States,3306609045
Citicorp,1993-01-05,Bank hldg co,Joint Venture,6021,United States,314201045
"Heartland Bancshares Inc,IN",1993-01-21,Bank holding company,Joint Venture,6021,United States,321876045
"Chemical Banking Corp,New York",1993-01-22,Bank holding company,Joint Venture,6021,United States,317039045
Cryo-Cell International Inc,1993-03-12,"Own,op umbilical cord banks",Strategic Alliance,8099,United States,326331045
First Interstate LA,1993-03-16,Commercial bank,Strategic Alliance,6022,United States,326249045
"Chemical Banking Corp,New York",1993-03-17,Bank holding company,Strategic Alliance,6021,United States,325713045
"First Fidelity Bancorp,NJ",1993-03-22,Bank holding company,Strategic Alliance,6021,United States,326660045
NorthPark National Corp,1993-03-25,Commercial bank,Joint Venture,6021,United States,327121045
"Texas Central Bank,Texas",1993-03-25,Commercial bank,Joint Venture,6021,United States,327121045
"First Bank Sys,Minneapolis,MN",1993-04-06,Bank holding company,Strategic Alliance,6712,United States,331691045
Wasserstein Perella Group Inc,1993-04-12,Investment bank,Joint Venture,6211,United States,329313045
Piper Jaffray Cos,1993-04-20,Investment bank; holding co,Strategic Alliance,6211,United States,330497045
"Provident Bank,Cincinnati,Ohio",1993-05-21,Commercial bank,Joint Venture,6021,United States,335010045
"Star Banc Corp,Cincinnati,OH",1993-05-21,Bank holding company,Joint Venture,6512,United States,335010045
"Norwest Corp,Minneapolis,MN",1993-05-21,Bank holding company,Joint Venture,6021,United States,335010045
"First Bank Sys,Minneapolis,MN",1993-05-21,Bank holding company,Joint Venture,6712,United States,335010045
"NBD Bancorp,Detroit,Michigan",1993-05-21,Bank holding company,Joint Venture,6712,United States,335010045
"Citizens Bancorp,Laurel,MD",1993-05-21,Bank holding company,Joint Venture,6022,United States,335010045
"First of Amer Bk,Kalamazoo,MI",1993-05-21,Bank holding company,Joint Venture,6021,United States,335010045
"First Natl Bk of Chicago,IL",1993-05-21,Commercial bank,Joint Venture,6022,United States,335010045
"Liberty Natl Bancorp,Kentucky",1993-05-21,Bank holding company,Joint Venture,6021,United States,335010045
Michigan National Corp,1993-05-21,Bank holding company,Joint Venture,6021,United States,335010045
"Redwood Empire Bancorp,CA",1993-06-07,Bank holding co,Strategic Alliance,6021,United States,337003045
"Pacific Western Bancshares,CA",1993-06-07,Bank holding company,Strategic Alliance,6022,United States,337003045
Norwest Bank Minnesota,1993-06-14,Commercial bank,Strategic Alliance,6022,United States,338102045
Sumitomo Bank of California,1993-06-17,State bank,Joint Venture,6081,United States,338539045
Sumitomo Bank of California,1993-06-17,State bank,Joint Venture,6081,United States,338551045
Norwest Bank(Norwest Corp),1993-06-21,Commercial bank,Strategic Alliance,6021,United States,339334045
Chase Manhattan Corp,1993-06-21,Bank holding company,Strategic Alliance,6021,United States,339191045
Wausau Financial Corp,1993-06-28,Bank holding company,Strategic Alliance,6712,United States,340832045
JP Morgan & Co Inc,1993-06-30,Investment bank,Joint Venture,6211,United States,341510045
"First Fidelity Bancorp,NJ",1993-07-01,Bank holding company,Joint Venture,6021,United States,341499045
Bankers Trust Co,1993-07-01,Commercial bank,Joint Venture,6021,United States,341499045
DG Bank,1993-07-05,Savings bank,Joint Venture,6036,United States,389060045
Dysart State Bank,1993-07-05,Investment bank,Joint Venture,6211,United States,344042045
Chase Manhattan Bank,1993-07-08,Commercial bank,Strategic Alliance,6021,United States,342289045
Xi Tech Inc,1993-07-09,Investment bank,Strategic Alliance,6211,United States,343427045
"Centura Bank Inc,NC",1993-07-13,Bank hldg co,Joint Venture,6021,United States,343821045
Fifth Third Bancorp,1993-07-15,Commercial Banking,Strategic Alliance,6022,United States,344173045
"Provident Bank,Cincinnati,Ohio",1993-07-16,Commercial bank,Strategic Alliance,6021,United States,373447045
"First Tennessee Bank Assoc,TN",1993-08-10,Commercial bank,Strategic Alliance,6021,United States,360197045
Dysart State Bank,1993-08-10,Investment bank,Joint Venture,6211,United States,360144045
Bankers Trust Co,1993-08-17,Commercial bank,Strategic Alliance,6021,United States,361150045
PNC Bank-First Eastern Branch,1993-08-26,Commercial bank,Strategic Alliance,6021,United States,362543045
Goldman Sachs & Co,1993-09-14,Invest bank,Strategic Alliance,6211,United States,365443045
Morgan Stanley Group Inc,1993-09-20,Investment bank,Joint Venture,6211,United States,366244045
Chase Manhattan Bank,1993-09-24,Commercial bank,Joint Venture,6021,United States,367171045
Chase Manhattan Bank,1993-09-26,Commercial bank,Strategic Alliance,6021,United States,370207045
"CoreStates Financial Corp,PA",1993-10-01,Bank holding company,Strategic Alliance,6022,United States,368924045
"US Bancorp,Portland,Oregon",1993-10-04,Commercial bank;trust facility,Strategic Alliance,6021,United States,369235045
PNC Bank-First Eastern Branch,1993-10-13,Commercial bank,Joint Venture,6021,United States,370551045
Hamilton Financial Corp,1993-10-13,Mortgage bank,Joint Venture,6162,United States,370579045
Fox & Carskadon Mortgage,1993-10-13,Mortgage bank,Joint Venture,6162,United States,370579045
Chemical Bank,1993-10-18,Commercial bank,Strategic Alliance,6021,United States,371485045
Goldman Sachs & Co,1993-10-20,Invest bank,Strategic Alliance,6211,United States,371736045
First Financial Services Inc,1993-10-20,Bank holding company,Joint Venture,6022,United States,371968045
"CNB Bancshares Inc,IN",1993-10-25,Bank holding company,Strategic Alliance,6022,United States,372258045
Citibank NA,1993-10-28,Commercial bank (for US),Strategic Alliance,6021,United States,370995045
"NationsBank Corp,Charlotte,NC",1993-11-02,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,374539045
Citibank Group Inc,1993-11-09,"State banks, insured",Strategic Alliance,6022,United States,375674045
Citibank NA,1993-11-10,Commercial bank (for US),Strategic Alliance,6021,United States,376324045
"US Bancorp,Portland,Oregon",1993-11-17,Commercial bank;trust facility,Strategic Alliance,6021,United States,377047045
"NationsBank Corp,Charlotte,NC",1993-11-23,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,377898045
First Chicago Corp-Units,1993-11-29,Bank holding company,Strategic Alliance,6022,United States,378519045
Bankers Trust New York Corp,1993-12-01,Bank holding company,Joint Venture,6022,United States,422215045
Chase Manhattan Corp,1993-12-28,Bank holding company,Joint Venture,6021,United States,382687045
US Software Inc,1994-01-03,Dvlp integratable bank softwre,Strategic Alliance,7372,United States,383458045
Citibank Group Inc,1994-01-04,"State banks, insured",Strategic Alliance,6022,United States,383759045
"Metroplex Bancshares,Dallas,TX",1994-01-24,Commercial bank;holding co,Joint Venture,6021,United States,386565045
"Bank of Boston Corp,Boston,MA",1994-02-14,Bank holding company,Joint Venture,6021,United States,391576045
"Crestar Finl Corp,Richmond,VA",1994-02-25,Bank holding company,Strategic Alliance,6022,United States,392945045
Lazard Freres & Co LLC,1994-03-22,Investment bank,Joint Venture,6211,United States,396565045
Fidelity Bond and Mortgage Co,1994-03-23,Mortgage bankers,Strategic Alliance,6162,United States,396759045
Bankers Mutual,1994-03-23,Mortgage bank,Joint Venture,6162,United States,396735045
Washington Mortgage Financial,1994-03-23,Mortgage bankers,Joint Venture,6162,United States,396735045
Allen & Co LLC,1994-04-04,Investment bank,Joint Venture,6282,United States,399605045
"Mellon Bank NA,Pittsburgh,PA",1994-04-18,Commercial bank,Strategic Alliance,6021,United States,400487045
Latimer & Buck of Florida Inc,1994-04-25,Mortgage bank,Strategic Alliance,6162,United States,422920045
Bank Julius Baer(Julius Baer),1994-04-26,Investment bank,Joint Venture,6211,United States,402261045
Donaldson Lufkin & Jenrette,1994-05-03,Investment bank,Joint Venture,6211,United States,402729045
Donaldson Lufkin & Jenrette,1994-06-01,Investment bank,Joint Venture,6211,United States,422712045
"Norwest Corp,Minneapolis,MN",1994-06-07,Bank holding company,Strategic Alliance,6021,United States,409290045
Hammond Co,1994-06-09,Mortgage bank; holding co,Strategic Alliance,6162,United States,409782045
BankAmerica Corp,1994-06-23,Bank holding company,Strategic Alliance,6021,United States,412224045
Donaldson Lufkin & Jenrette,1994-06-29,Investment bank,Joint Venture,6211,United States,413480045
JP Morgan & Co Inc,1994-06-30,Investment bank,Joint Venture,6211,United States,413509045
Bankers Trust Co,1994-06-30,Commercial bank,Strategic Alliance,6021,United States,413516045
Iowa Bankers Association,1994-06-30,Bankers association,Joint Venture,8611,United States,413557045
Bankers Trust New York Corp,1994-07-11,Bank holding company,Strategic Alliance,6022,United States,415341045
Fleet Mortgage Group Inc,1994-07-14,Mortgage bank;holding company,Strategic Alliance,6162,United States,415771045
Crestar Bank(Crestar Finl),1994-07-20,Commercial bank,Strategic Alliance,6021,United States,416973045
Goldman Sachs & Co,1994-07-27,Invest bank,Strategic Alliance,6211,United States,419665045
"Bank of Boston Corp,Boston,MA",1994-07-27,Bank holding company,Strategic Alliance,6021,United States,419665045
"Chemical Banking Corp,New York",1994-08-03,Bank holding company,Joint Venture,6021,United States,420323045
"Mellon Bank Corp,Pittsburgh,PA",1994-08-03,Bank holding co,Joint Venture,6021,United States,420323045
"First Natl Bk of Chicago,IL",1994-08-08,Commercial bank,Strategic Alliance,6022,United States,421082045
Citicorp Services Inc,1994-08-09,Pvd depository banking svcs,Strategic Alliance,6099,United States,421381045
BankAmerica Corp,1994-08-09,Bank holding company,Joint Venture,6021,United States,421325045
"Fleet National Bank,Providence",1994-08-09,Commercial bank,Joint Venture,6021,United States,421325045
Eastdil Realty Inc,1994-08-17,Pvd re invest banking svcs,Joint Venture,6531,United States,422730045
"First Bank Sys,Minneapolis,MN",1994-08-18,Bank holding company,Strategic Alliance,6712,United States,423283045
JP Morgan & Co Inc,1994-08-22,Investment bank,Strategic Alliance,6211,United States,423077045
"Bank South Corp,Atlanta,GA",1994-09-12,Bank holding company,Strategic Alliance,6021,United States,426062045
Wheat First Securities Inc(WF),1994-09-12,"Investment bank,brokerage firm",Strategic Alliance,6211,United States,426062045
"PNC Bank Corp,Pittsburgh,PA",1994-09-14,Bank holding company,Strategic Alliance,6021,United States,426377045
Vestrust Securities Inc,1994-09-23,Investment bank,Strategic Alliance,6211,United States,427964045
"NationsBank Corp,Charlotte,NC",1994-10-11,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,430584045
Visa Interactive,1994-10-11,Pvd electronic banking svcs,Strategic Alliance,6099,United States,430584045
Bank Julius Baer(Julius Baer),1994-10-12,Investment bank,Joint Venture,6211,United States,430825045
Morgan Stanley & Co Intl Ltd,1994-10-12,Invest bank,Joint Venture,6211,United States,430825045
"First Union Corp,Charlotte,NC",1994-10-14,Commercial bank;holding co,Joint Venture,6021,United States,431221045
Morgan Stanley Group Inc,1994-10-20,Investment bank,Joint Venture,6211,United States,432021045
"Charter Pacific Bank,Agoura,CA",1994-10-21,Commercial bank,Strategic Alliance,6021,United States,432223045
Morgan Stanley & Co Intl Ltd,1994-10-24,Invest bank,Joint Venture,6211,United States,432238045
AFBA Industrial Bank,1994-10-25,Bank,Strategic Alliance,6029,United States,432556045
First Union Home Equity Bank,1994-10-25,State bank,Strategic Alliance,6022,United States,432556045
"FirstBank NW Corp,Clarkston,WA",1994-10-28,Bank holding co,Joint Venture,6712,United States,433202045
"NationsBank Corp,Charlotte,NC",1994-11-04,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,415545045
"Union National Bk,Souderton,PA",1994-11-07,Commercial bank,Strategic Alliance,6021,United States,434370045
"NationsBank Corp,Charlotte,NC",1994-11-07,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,434261045
"Fleet Financial Group Inc,MA",1994-11-09,Bank holding company,Strategic Alliance,6021,United States,434540045
Shawmut National Corp,1994-11-09,Bank holding company,Strategic Alliance,6021,United States,434733045
Chase Manhattan Bank,1994-11-15,Commercial bank,Strategic Alliance,6021,United States,435646045
Household International Bank,1994-11-15,Commercial bank,Joint Venture,6021,United States,435603045
Generale Bank(NY),1994-11-16,Bank,Strategic Alliance,6029,United States,435863045
Criterion Mortgage Holding Co,1994-11-21,Provide mortgage banking svcs,Strategic Alliance,6162,United States,485664045
SmartPay Processing Inc,1994-12-06,"Pvd elec banking,bill pymt svc",Strategic Alliance,6099,United States,438376045
First National Bank & Trust Co,1994-12-07,Commercial bank,Joint Venture,6021,United States,438691045
"First Bank & Trust,AL",1994-12-07,Commercial bank,Joint Venture,6022,United States,438691045
Wells Fargo & Co,1994-12-13,Bank holding company,Strategic Alliance,6021,United States,439869045
CS First Boston Group Inc,1994-12-15,Investment bank,Joint Venture,6211,United States,440447045
Chase Manhattan Bank NA,1994-12-19,Commercial bank,Joint Venture,6021,United States,440866045
National Westminster Bancorp,1994-12-21,Bank holding company,Strategic Alliance,6021,United States,441317045
"Premier Bancorp,Baton Rouge,LA",1994-12-27,Bank holding company,Strategic Alliance,6022,United States,441851045
Morgan Stanley & Co Intl Ltd,1994-12-28,Invest bank,Joint Venture,6211,United States,442552045
"Peoples Bank, Catawba, NC",1995-01-01,Provide banking services,Joint Venture,6022,United States,484122045
"First Chicago Corp,Illinois",1995-01-01,Bank holding company,Joint Venture,6021,United States,489766045
Wells Fargo & Co,1995-01-20,Bank holding company,Joint Venture,6021,United States,446166045
Dean Witter Capital Corp,1995-01-26,Investment bank,Joint Venture,6211,United States,447572045
US Bank of Oregon(US Bancorp),1995-01-26,Commercial bank,Strategic Alliance,6021,United States,447205045
Bankers Trust New York Corp,1995-01-30,Bank holding company,Strategic Alliance,6022,United States,449161045
Summit Bank(Summit Bancorp),1995-02-01,Commercial bank,Joint Venture,6022,United States,449703045
Mutual Mortgage Corp,1995-02-02,Mortgage bank,Strategic Alliance,6163,United States,449938045
"Roosevelt Finl Group,Missouri",1995-02-02,Bank holding company,Strategic Alliance,6035,United States,449938045
Citibank NA,1995-02-02,Commercial bank (for US),Joint Venture,6021,United States,449917045
Most Electronic Banking Netwk,1995-02-07,Commercial bank,Strategic Alliance,6022,United States,450641045
SmartPay Processing Inc,1995-02-07,"Pvd elec banking,bill pymt svc",Strategic Alliance,6099,United States,450641045
"BANC ONE Corp,Columbus,Ohio",1995-02-08,Bank holding co,Strategic Alliance,6021,United States,450854045
"First Union Corp,Charlotte,NC",1995-02-15,Commercial bank;holding co,Strategic Alliance,6021,United States,452007045
"US Bancorp,Portland,Oregon",1995-02-17,Commercial bank;trust facility,Strategic Alliance,6021,United States,463631045
Dysart State Bank,1995-02-24,Investment bank,Joint Venture,6211,United States,453562045
"First of Amer Bk,Kalamazoo,MI",1995-02-24,Bank holding company,Joint Venture,6021,United States,453574045
